,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,topic,problem,status,link
0,0,0,0,0,,,,
1,1,1,1,1,Array,Reverse the array,Y,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/
2,2,2,2,2,Array,Find the maximum and minimum element in an array,Y,https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/
3,3,3,3,3,Array,"Find the ""Kth"" max and min element of an array ",Y,https://practice.geeksforgeeks.org/problems/kth-smallest-element/0
4,4,4,4,4,Array,"Given an array which consists of only 0, 1 and 2. Sort the array without using any sorting algo",Y,https://practice.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s/0
5,5,5,5,5,Array,Move all the negative elements to one side of the array ,Y,https://www.geeksforgeeks.org/move-negative-numbers-beginning-positive-end-constant-extra-space/
6,6,6,6,6,Array,Find the Union and Intersection of the two sorted arrays.,Y,https://practice.geeksforgeeks.org/problems/union-of-two-arrays/0
7,7,7,7,7,Array,Write a program to cyclically rotate an array by one.,Y,https://practice.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one/0
8,8,8,8,8,Array,find Largest sum contiguous Subarray [V. IMP],Y,https://practice.geeksforgeeks.org/problems/kadanes-algorithm/0
9,9,9,9,9,Array,Minimise the maximum difference between heights [V.IMP],Y,https://practice.geeksforgeeks.org/problems/minimize-the-heights3351/1
10,10,10,10,10,Array,Minimum no. of Jumps to reach end of an array,N,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps/0
11,11,11,11,11,Array,find duplicate in an array of N+1 Integers,N,https://leetcode.com/problems/find-the-duplicate-number/
12,12,12,12,12,Array,Merge 2 sorted arrays without using Extra space.,N,https://practice.geeksforgeeks.org/problems/merge-two-sorted-arrays5135/1
13,13,13,13,13,Array,Kadane's Algo [V.V.V.V.V IMP],N,https://practice.geeksforgeeks.org/problems/kadanes-algorithm/0
14,14,14,14,14,Array,Merge Intervals,N,https://leetcode.com/problems/merge-intervals/
15,15,15,15,15,Array,Next Permutation,N,https://leetcode.com/problems/next-permutation/
16,16,16,16,16,Array,Count Inversion,N,https://practice.geeksforgeeks.org/problems/inversion-of-array/0
17,17,17,17,17,Array,Best time to buy and Sell stock,N,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
18,18,18,18,18,Array,find all pairs on integer array whose sum is equal to given number,N,https://practice.geeksforgeeks.org/problems/count-pairs-with-given-sum5022/1
19,19,19,19,19,Array,find common elements In 3 sorted arrays,N,https://practice.geeksforgeeks.org/problems/common-elements1132/1
20,20,20,20,20,Array,Rearrange the array in alternating positive and negative items with O(1) extra space,N,https://www.geeksforgeeks.org/rearrange-array-alternating-positive-negative-items-o1-extra-space/
21,21,21,21,21,Array,Find if there is any subarray with sum equal to 0,N,https://practice.geeksforgeeks.org/problems/subarray-with-0-sum/0
22,22,22,22,22,Array,Find factorial of a large number,N,https://practice.geeksforgeeks.org/problems/factorials-of-large-numbers/0
23,23,23,23,23,Array,find maximum product subarray ,N,https://practice.geeksforgeeks.org/problems/maximum-product-subarray3604/1
24,24,24,24,24,Array,Find longest coinsecutive subsequence,N,https://practice.geeksforgeeks.org/problems/longest-consecutive-subsequence/0
25,25,25,25,25,Array,"Given an array of size n and a number k, fin all elements that appear more than "" n/k "" times.",N,https://www.geeksforgeeks.org/given-an-array-of-of-size-n-finds-all-the-elements-that-appear-more-than-nk-times/
26,26,26,26,26,Array,Maximum profit by buying and selling a share atmost twice,N,https://www.geeksforgeeks.org/maximum-profit-by-buying-and-selling-a-share-at-most-twice/
27,27,27,27,27,Array,Find whether an array is a subset of another array,N,https://practice.geeksforgeeks.org/problems/array-subset-of-another-array/0
28,28,28,28,28,Array,Find the triplet that sum to a given value,N,https://practice.geeksforgeeks.org/problems/triplet-sum-in-array/0
29,29,29,29,29,Array,Trapping Rain water problem,N,https://practice.geeksforgeeks.org/problems/trapping-rain-water/0
30,30,30,30,30,Array,Chocolate Distribution problem,N,https://practice.geeksforgeeks.org/problems/chocolate-distribution-problem/0
31,31,31,31,31,Array,Smallest Subarray with sum greater than a given value,N,https://practice.geeksforgeeks.org/problems/smallest-subarray-with-sum-greater-than-x/0
32,32,32,32,32,Array,Three way partitioning of an array around a given value,N,https://practice.geeksforgeeks.org/problems/three-way-partitioning/1
33,33,33,33,33,Array,Minimum swaps required bring elements less equal K together,N,https://practice.geeksforgeeks.org/problems/minimum-swaps-required-to-bring-all-elements-less-than-or-equal-to-k-together/0
34,34,34,34,34,Array,Minimum no. of operations required to make an array palindrome,N,https://practice.geeksforgeeks.org/problems/palindromic-array/0
35,35,35,35,35,Array,Median of 2 sorted arrays of equal size,N,https://practice.geeksforgeeks.org/problems/find-the-median0527/1
36,36,36,36,36,Array,Median of 2 sorted arrays of different size,N,https://www.geeksforgeeks.org/median-of-two-sorted-arrays-of-different-sizes/
37,37,37,37,37,,,N,
38,38,38,38,38,,,N,
39,39,39,39,39,Matrix,Spiral traversal on a Matrix,N,https://practice.geeksforgeeks.org/problems/spirally-traversing-a-matrix/0
40,40,40,40,40,Matrix,Search an element in a matriix,N,https://leetcode.com/problems/search-a-2d-matrix/
41,41,41,41,41,Matrix,Find median in a row wise sorted matrix,N,https://practice.geeksforgeeks.org/problems/median-in-a-row-wise-sorted-matrix1527/1
42,42,42,42,42,Matrix,Find row with maximum no. of 1's,N,https://practice.geeksforgeeks.org/problems/row-with-max-1s0023/1
43,43,43,43,43,Matrix,Print elements in sorted order using row-column wise sorted matrix,N,https://practice.geeksforgeeks.org/problems/sorted-matrix/0
44,44,44,44,44,Matrix,Maximum size rectangle,N,https://practice.geeksforgeeks.org/problems/max-rectangle/1
45,45,45,45,45,Matrix,Find a specific pair in matrix,N,https://www.geeksforgeeks.org/find-a-specific-pair-in-matrix/
46,46,46,46,46,Matrix,Rotate matrix by 90 degrees,N,https://www.geeksforgeeks.org/rotate-a-matrix-by-90-degree-in-clockwise-direction-without-using-any-extra-space/
47,47,47,47,47,Matrix,Kth smallest element in a row-cpumn wise sorted matrix,N,https://practice.geeksforgeeks.org/problems/kth-element-in-matrix/1
48,48,48,48,48,Matrix,Common elements in all rows of a given matrix,N,https://www.geeksforgeeks.org/common-elements-in-all-rows-of-a-given-matrix/
49,49,49,49,49,,,,
50,50,50,50,50,,,,
51,51,51,51,51,String,Reverse a String,Y,https://leetcode.com/problems/reverse-string/
52,52,52,52,52,String,Check whether a String is Palindrome or not,Y,https://practice.geeksforgeeks.org/problems/palindrome-string0817/1
53,53,53,53,53,String,Find Duplicate characters in a string,Y,https://www.geeksforgeeks.org/print-all-the-duplicates-in-the-input-string/
54,54,54,54,54,String,Why strings are immutable in Java?,N,
55,55,55,55,55,String,Write a Code to check whether one string is a rotation of another,Y,https://www.geeksforgeeks.org/a-program-to-check-if-strings-are-rotations-of-each-other/
56,56,56,56,56,String,Write a Program to check whether a string is a valid shuffle of two strings or not,Y,https://www.programiz.com/java-programming/examples/check-valid-shuffle-of-strings
57,57,57,57,57,String,Count and Say problem,N,https://leetcode.com/problems/count-and-say/
58,58,58,58,58,String,Write a program to find the longest Palindrome in a string.[ Longest palindromic Substring],Y,https://practice.geeksforgeeks.org/problems/longest-palindrome-in-a-string/0
59,59,59,59,59,String,Find Longest Recurring Subsequence in String,N,https://practice.geeksforgeeks.org/problems/longest-repeating-subsequence/0
60,60,60,60,60,String,Print all Subsequences of a string.,N,https://www.geeksforgeeks.org/print-subsequences-string/
61,61,61,61,61,String,Print all the permutations of the given string,N,https://practice.geeksforgeeks.org/problems/permutations-of-a-given-string/0
62,62,62,62,62,String,Split the Binary string into two substring with equal 0’s and 1’s,N,https://www.geeksforgeeks.org/split-the-binary-string-into-substrings-with-equal-number-of-0s-and-1s/
63,63,63,63,63,String,Word Wrap Problem [VERY IMP].,N,https://practice.geeksforgeeks.org/problems/word-wrap/0
64,64,64,64,64,String,EDIT Distance [Very Imp],N,https://practice.geeksforgeeks.org/problems/edit-distance3702/1
65,65,65,65,65,String,Find next greater number with same set of digits. [Very Very IMP],N,https://practice.geeksforgeeks.org/problems/next-permutation/0
66,66,66,66,66,String,Balanced Parenthesis problem.[Imp],N,https://practice.geeksforgeeks.org/problems/parenthesis-checker/0
67,67,67,67,67,String,Word break Problem[ Very Imp],N,https://practice.geeksforgeeks.org/problems/word-break/0
68,68,68,68,68,String,Rabin Karp Algo,N,https://www.geeksforgeeks.org/rabin-karp-algorithm-for-pattern-searching/
69,69,69,69,69,String,KMP Algo,N,https://practice.geeksforgeeks.org/problems/longest-prefix-suffix2527/1
70,70,70,70,70,String,Convert a Sentence into its equivalent mobile numeric keypad sequence.,N,https://www.geeksforgeeks.org/convert-sentence-equivalent-mobile-numeric-keypad-sequence/
71,71,71,71,71,String,Minimum number of bracket reversals needed to make an expression balanced.,N,https://practice.geeksforgeeks.org/problems/count-the-reversals/0
72,72,72,72,72,String,Count All Palindromic Subsequence in a given String.,N,https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1
73,73,73,73,73,String,Count of number of given string in 2D character array,N,https://www.geeksforgeeks.org/find-count-number-given-string-present-2d-character-array/
74,74,74,74,74,String,Search a Word in a 2D Grid of characters.,N,https://practice.geeksforgeeks.org/problems/find-the-string-in-grid/0
75,75,75,75,75,String,Boyer Moore Algorithm for Pattern Searching.,N,https://www.geeksforgeeks.org/boyer-moore-algorithm-for-pattern-searching/
76,76,76,76,76,String,Converting Roman Numerals to Decimal,N,https://practice.geeksforgeeks.org/problems/roman-number-to-integer/0
77,77,77,77,77,String,Longest Common Prefix,N,https://leetcode.com/problems/longest-common-prefix/
78,78,78,78,78,String,Number of flips to make binary string alternate,N,https://practice.geeksforgeeks.org/problems/min-number-of-flips/0
79,79,79,79,79,String,Find the first repeated word in string.,N,https://practice.geeksforgeeks.org/problems/second-most-repeated-string-in-a-sequence/0
80,80,80,80,80,String,Minimum number of swaps for bracket balancing.,N,https://practice.geeksforgeeks.org/problems/minimum-swaps-for-bracket-balancing/0
81,81,81,81,81,String,Find the longest common subsequence between two strings.,N,https://practice.geeksforgeeks.org/problems/longest-common-subsequence/0
82,82,82,82,82,String,Program to generate all possible valid IP addresses from given  string.,N,https://www.geeksforgeeks.org/program-generate-possible-valid-ip-addresses-given-string/
83,83,83,83,83,String,Write a program tofind the smallest window that contains all characters of string itself.,N,https://practice.geeksforgeeks.org/problems/smallest-distant-window/0
84,84,84,84,84,String,Rearrange characters in a string such that no two adjacent are same,N,https://practice.geeksforgeeks.org/problems/rearrange-characters/0
85,85,85,85,85,String,Minimum characters to be added at front to make string palindrome,N,https://www.geeksforgeeks.org/minimum-characters-added-front-make-string-palindrome/
86,86,86,86,86,String,"Given a sequence of words, print all anagrams together",N,https://practice.geeksforgeeks.org/problems/k-anagrams-1/0
87,87,87,87,87,String,Find the smallest window in a string containing all characters of another string,N,https://practice.geeksforgeeks.org/problems/smallest-window-in-a-string-containing-all-the-characters-of-another-string/0
88,88,88,88,88,String,Recursively remove all adjacent duplicates,N,https://practice.geeksforgeeks.org/problems/consecutive-elements/0
89,89,89,89,89,String,String matching where one string contains wildcard characters,N,https://practice.geeksforgeeks.org/problems/wildcard-string-matching/0
90,90,90,90,90,String,Function to find Number of customers who could not get a computer,N,https://www.geeksforgeeks.org/function-to-find-number-of-customers-who-could-not-get-a-computer/
